IniId,IniLeg,IniNr,IniTipo,IniTitulo,Autor,DataInicioLegislatura,DataFimLegislatura,UltimaFase,DataUltimaFase,NumEventos,NumAnexos
315160,XVII,1,Proposta de Lei,"Altera a Lei n.º 37/81, de 3 de outubro, que aprova a Lei da Nacionalidade",Governo (V),2025-06-03,,Reapreciação do decreto,2026-07-03,48,2
315261,XVII,7,Proposta de Lei,"Autoriza o Governo a transpor a Diretiva (UE) 2022/2555, relativa a medidas destinadas a garantir um elevado nível comum de cibersegurança na União",Governo (V),2025-06-03,,Lei (Publicação DR),2025-10-22,25,1
315352,XVII,10,Proposta de Lei,"Autoriza o Governo a transpor a Diretiva (UE) 2021/2167, que harmoniza o acesso e o exercício da gestão de créditos bancários não produtivos e define os requisitos para os adquirentes de créditos",Governo (V),2025-06-03,,Envio INCM,2025-07-22,15,3
315757,XVII,41,Proposta de Lei,"Procede à execução, na ordem jurídica interna, dos Regulamentos (UE) 2017/745 e 2017/746, na parte relativa à investigação clínica e ao estudo de desempenho de dispositivos médicos, e altera a Lei n.º 21/2014, de 16 de abril",Governo (V),2025-06-03,,Lei (Publicação DR),2025-12-22,15,3
315764,XVII,45,Proposta de Lei,"Transpõe a Diretiva (UE) 2024/1226, relativa à definição das infrações penais e das sanções aplicáveis à violação de medidas restritivas da União",Governo (V),2025-06-03,,Lei (Publicação DR),2025-12-23,15,2
356751,XVII,76,Proposta de Lei,"Assegura a execução dos Regulamentos (UE) 2024/1347, 2024/1348, 2024/1350, 2024/1351 e 2024/1359, transpõe a Diretiva (UE) 2024/1346 e altera a Lei n.º 27/2008, de 30 de junho, que estabelece as condições e procedimentos de concessão de asilo ou proteção subsidiária e os estatutos de requerente de asilo, de refugiado e de proteção subsidiária",Governo (V),2025-06-03,,Envio para promulgação,2026-07-30,14,2
315357,XVII,3,Proposta de Resolução,"Aprova o Acordo entre a República Portuguesa e a República da África do Sul de Cooperação no Domínio da Defesa, assinado em Pretória, a 6 de junho de 2023",Governo (V),2025-06-03,,Resolução da AR (Publicação DR),2025-10-27,11,3
315874,XVII,5,Proposta de Resolução,"Aprova a Convenção entre a República Portuguesa e o Reino Unido da Grã-Bretanha e Irlanda do Norte para Eliminar a Dupla Tributação em Matéria de Impostos sobre o Rendimento e sobre as Mais-Valias e Prevenir a Fraude e a Evasão Fiscais, assinada em Londres, aos 15 dias do mês de setembro de 2025",Governo (V),2025-06-03,,Resolução da AR (Publicação DR),2025-12-29,11,3
345968,XVII,51,Proposta de Lei,"Altera o Decreto-Lei n.º 37-A/2025, de 24 de março, que define um novo modelo para a atribuição de um subsídio social de mobilidade no âmbito dos serviços aéreos entre o continente e as Regiões Autónomas  dos Açores e da Madeira e entre estas regiões ",Assembleia Legislativa da Região Autónoma dos Açores (A),2025-06-03,,Baixa comissão especialidade,2026-02-19,13,10
356767,XVII,78,Proposta de Lei,"Autoriza o Governo a rever o Decreto-Lei n.º 10/2004, de 9 de janeiro, que estabelece o regime aplicável às contraordenações aeronáuticas civis",Governo (V),2025-06-03,,Lei (Publicação DR),2026-08-19,12,4
