IniId,EvtId,Fase,DataFase,Resultado,Detalhe,Favor,Contra,Abstencao
315160,122,Requerimento Baixa Comissão sem Votação (Generalidade),2025-07-04,Aprovado,"A Favor: <I>PSD</I>, <I> CH</I>, <I> PS</I>, <I> IL</I>, <I> L</I>, <I> CDS-PP</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PCP</I>, <I> BE</I>",,,
315160,13,Votação na generalidade,2025-10-28,Aprovado,"A Favor: <I>PSD</I>, <I> CH</I>, <I> IL</I>, <I> CDS-PP</I><BR>Contra:<I>PS</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I><BR>Abstenção:<I>JPP</I>",,,
315160,13,Votação na generalidade,2025-10-28,Aprovado,"A Favor: <I>PSD</I>, <I> CH</I>, <I> IL</I>, <I> CDS-PP</I><BR>Contra:<I>CH</I>, <I> L</I>, <I> PCP</I>, <I> BE</I>, <I> PAN</I><BR>Abstenção:<I>JPP</I>",,,
315160,18,Votação final global,2025-10-28,Aprovado,"A Favor: <I>86-PSD</I>, <I> 59-CH</I>, <I> 9-IL</I>, <I> 2-CDS-PP</I>, <I> 1-JPP</I><BR>Contra:<I>54-PS</I>, <I> 5-L</I>, <I> 3-PCP</I>, <I> 1-BE</I>, <I> 1-PAN</I>",,,
315160,18,Votação final global,2025-10-28,Aprovado,"A Favor: <I>86-PSD</I>, <I> 59-CH</I>, <I> 9-IL</I>, <I> 2-CDS-PP</I>, <I> 1-JPP</I><BR>Contra:<I>54-PS</I>, <I> 5-L</I>, <I> 3-PCP</I>, <I> 1-BE</I>, <I> 1-PAN</I>",,,
315160,100,Votação novo decreto,2026-04-01,Aprovado,"A Favor: <I>85-PSD</I>, <I> 57-CH</I>, <I> 8-IL</I>, <I> 2-CDS-PP</I><BR>Contra:<I>54-PS</I>, <I> 6-L</I>, <I> 2-PCP</I>, <I> 1-BE</I>, <I> 1-PAN</I><BR>Abstenção:<I>1-JPP</I>",,,
315160,100,Votação novo decreto,2026-04-01,Aprovado,"A Favor: <I>85-PSD</I>, <I> 56-CH</I>, <I> 8-IL</I>, <I> 2-CDS-PP</I><BR>Contra:<I>54-PS</I>, <I> 6-L</I>, <I> 2-PCP</I>, <I> 1-BE</I>, <I> 1-PAN</I>, <I> 1-JPP</I>",,,
315160,112,Confirmação do decreto,2026-07-03,Rejeitado,"A Favor: <I>54-CH</I>, <I> 2-CDS-PP</I><BR>Contra:<I>80-PSD</I>, <I> 53-PS</I>, <I> 7-IL</I>, <I> 6-L</I>, <I> 3-PCP</I>, <I> 1-BE</I>, <I> 1-PAN</I>, <I> 1-JPP</I>",,,
315261,13,Votação na generalidade,2025-09-19,Aprovado,"A Favor: <I>PSD</I>, <I> CDS-PP</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PS</I>, <I> L</I>, <I> PCP</I><BR>Abstenção:<I>CH</I>, <I> IL</I>",,,
315261,18,Votação final global,2025-09-30,Aprovado,"A Favor: <I>PSD</I>, <I> CDS-PP</I>, <I> PAN</I>, <I> JPP</I><BR>Contra:<I>PS</I>, <I> L</I>, <I> PCP</I>, <I> BE</I><BR>Abstenção:<I>CH</I>, <I> IL</I>",,,
